Library	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-wt-mesc-a1h5-hkt-f12-r2-c4_S1142_	111	0.0122189	0.9471	207396	207396	70.431802	0.020068	0.00530153156770654	0.0682815876265211	38	0.441176470588235	0.421609	0.125799
f1216-wt-mesc-a1h5-hkt-f12-r2-c5_S1143_	129	0.000214389	0.9693	546246	546246	72.727619	0.037675	0.014159425852609	0.0309670625962236	101	0.457142857142857	0.414213	0.160599
f1216-wt-mesc-a1h5-hkt-f12-r2-c6_S1144_	128	0.00242837	0.9529	625006	625006	72.549076	0.040038	0.0161215334909561	0.0377649841567367	116	0.451612903225806	0.41681	0.165853
f1216-wt-mesc-a1h5-hkt-f12-r3-c2_S1145_	126	0.004651	0.955	563194	563194	72.52964	0.037955	0.0145547638648545	0.0284976097281743	105	0.484848484848485	0.417391	0.161809
f1216-wt-mesc-a1h5-hkt-f12-r3-c3_S1146_	131	0.00742845	0.959	439484	439484	73.227892	0.04012	0.0114412316717749	0.0212275477859956	81	0.5	0.415782	0.137554
f1216-wt-mesc-a1h5-hkt-f12-r3-c4_S1147_	128	0.00725296	0.9585	377390	377390	73.11274	0.036604	0.0098451995408198	0.0248457655636568	70	0.387096774193548	0.416764	0.139508
f1216-wt-mesc-a1h5-hkt-f12-r3-c5_S1148_	131	0.0046756	0.9566	576348	576348	73.081111	0.041343	0.0149551032265809	0.0356142086913096	106	0.414634146341463	0.416373	0.158198
f1216-wt-mesc-a1h5-hkt-f12-r3-c6_S1149_	126	0.00704205	0.9567	547960	547960	72.267306	0.039543	0.0140865578851588	0.0461052539225291	100	0.487179487179487	0.418169	0.152221
f1216-wt-mesc-a1h5-hkt-f12-r4-c2_S1150_	126	0.00101709	0.9754	645918	645918	72.291504	0.042866	0.0165528823073394	0.0486046734648211	120	0.487179487179487	0.4166	0.164994
f1216-wt-mesc-a1h5-hkt-f12-r4-c3_S1151_	133	0.00708411	0.9574	588134	588134	72.954884	0.041106	0.0152383342298482	0.0344728204307101	108	0.594594594594595	0.41674	0.152475
